#id	length
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6953/ccs	743
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6957/ccs	1103
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/6992/ccs	1086
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7020/ccs	569
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7027/ccs	886
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7056/ccs	1036
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7064/ccs	609
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7098/ccs	1960
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7100/ccs	1996
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7135/ccs	1160
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7184/ccs	653
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7217/ccs	768
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7221/ccs	887
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7271/ccs	453
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7301/ccs	1039
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7324/ccs	1102
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7326/ccs	885
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7373/ccs	885
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7418/ccs	451
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7485/ccs	1157
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7501/ccs	674
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7533/ccs	909
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7566/ccs	1395
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7619/ccs	1161
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7624/ccs	1051
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7755/ccs	713
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7840/ccs	739
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7860/ccs	2696
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7973/ccs	711
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7981/ccs	931
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/7987/ccs	886
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8030/ccs	700
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8036/ccs	1720
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8061/ccs	885
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8075/ccs	889
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8088/ccs	1157
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8089/ccs	557
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8122/ccs	1158
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8156/ccs	652
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8198/ccs	678
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8216/ccs	2153
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8217/ccs	901
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8254/ccs	886
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8284/ccs	1102
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8286/ccs	1241
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8293/ccs	898
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8358/ccs	593
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8455/ccs	631
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8459/ccs	377
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8464/ccs	885
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8492/ccs	504
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8502/ccs	685
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8599/ccs	558
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8601/ccs	876
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8642/ccs	645
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8643/ccs	664
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8674/ccs	990
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8704/ccs	1157
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8739/ccs	833
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8758/ccs	453
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8817/ccs	711
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8843/ccs	657
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8853/ccs	1156
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8854/ccs	2011
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8865/ccs	442
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8904/ccs	459
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8920/ccs	707
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8966/ccs	994
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/8999/ccs	887
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9007/ccs	1020
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9030/ccs	593
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9055/ccs	1331
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9068/ccs	657
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9080/ccs	505
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9090/ccs	549
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9125/ccs	1058
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9176/ccs	657
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9196/ccs	1542
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9216/ccs	889
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9221/ccs	398
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9248/ccs	1442
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9253/ccs	888
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9275/ccs	1608
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9366/ccs	559
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9374/ccs	693
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9397/ccs	946
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9405/ccs	888
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9454/ccs	885
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9506/ccs	539
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9532/ccs	461
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9563/ccs	991
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9663/ccs	534
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9667/ccs	884
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9763/ccs	1197
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9804/ccs	1393
m180830_014130_42160_c101470662550000001823305209201893_s1_p0/9839/ccs	891
